Departamento,Provincia,Distrito,2014,2015,2016
ANCASH,MARISCAL LUZURIAGA,LUCMA,91.015625,92.48046875,84.9609375
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,94.71153846153845,96.09375,88.58173076923077
ANCASH,CARHUAZ,SHILLA,95.85336538461539,97.59615384615384,94.16666666666667
ANCASH,CARHUAZ,TINCO,86.66666666666667,84.0909090909091,81.21212121212122
ANCASH,CARHUAZ,YUNGAR,89.02027027027027,92.7927927927928,92.66409266409266
ANCASH,HUARI,ANRA,92.44402985074626,96.26865671641791,92.93532338308458
ANCASH,OCROS,OCROS,80.80601092896174,83.24225865209472,84.62138953942232
ANCASH,OCROS,ACAS,51.345755693581786,47.757073844030366,48.45782237086585
ANCASH,PALLASCA,CONCHUCOS,89.87657563025209,94.07825630252101,89.31197478991596
ANCASH,PALLASCA,HUANDOVAL,91.84782608695652,96.80706521739131,91.50815217391305
ANCASH,PALLASCA,LLAPO,93.84615384615384,89.66346153846155,88.71794871794872
ANCASH,SANTA,SANTA,0.0,0.0,0.0
ANCASH,SIHUAS,ACOBAMBA,71.30208333333333,69.73958333333333,66.875
ANCASH,SIHUAS,HUAYLLABAMBA,84.29644985747603,84.08914226483544,81.74559471365639
ANCASH,SIHUAS,RAGASH,97.69176136363636,99.7159090909091,96.09375
ANCASH,SIHUAS,SAN JUAN,92.65988372093024,95.1671511627907,89.46220930232558
ANCASH,SIHUAS,SICSIBAMBA,83.11567164179104,86.00746268656717,83.98009950248756
LIMA,HUAURA,AMBAR,47.661947661947664,46.56370656370656,43.792363792363794
LIMA,CAJATAMBO,GORGOR,90.23851590106007,92.60159010600707,90.81272084805654
LAMBAYEQUE,CHICLAYO,ETEN PUERTO,0.0,0.0,0.0
CAJAMARCA,CUTERVO,SANTO TOMAS,28.897849462365592,26.31246046805819,29.133064516129032
CAJAMARCA,CELENDIN,CHUMUCH,62.90922619047619,56.882440476190474,56.770833333333336
CAJAMARCA,CHOTA,ANGUIA,54.91071428571429,57.75335775335775,53.12169312169313
CAJAMARCA,CHOTA,COCHABAMBA,69.36170212765957,71.52209492635025,64.51367781155015
CAJAMARCA,SAN MIGUEL,CATILLUC,89.49704142011834,98.5207100591716,96.51931778628611
CAJAMARCA,SANTA CRUZ,ANDABAMBA,95.53571428571429,96.93877551020408,95.6043956043956
CAJAMARCA,SAN IGNACIO,HUARANGO,0.9536784741144414,0.8446866485013624,0.9536784741144414
CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,0.09000900090009001,0.09000900090009001,0.09000900090009001
CAJAMARCA,JAEN,SALLIQUE,74.1051028179741,64.87505893446487,58.83388338833883
CAJAMARCA,JAEN,POMAHUACA,19.033361847733104,15.578842315369263,14.071856287425149
CAJAMARCA,JAEN,COLASAY,24.653215636822196,27.421758569299552,25.273224043715846
CAJAMARCA,CUTERVO,CHOROS,17.535545023696685,15.910629654705485,17.535545023696685
TUMBES,TUMBES,LA CRUZ,0.0,0.0,0.0
TUMBES,TUMBES,PAMPAS DE HOSPITAL,0.0,0.0,0.0
TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,0.0,0.0,0.0
TUMBES,CONTRALMIRANTE VILLAR,CASITAS,0.0,0.0,0.0
TUMBES,ZARUMILLA,MATAPALO,0.0,0.0,0.0
CAJAMARCA,CUTERVO,SANTA CRUZ,3.6363636363636362,3.6363636363636362,3.4090909090909087
CAJAMARCA,CHOTA,CHOROPAMPA,49.27710843373494,53.765060240963855,49.675625579240034
CAJAMARCA,CHOTA,LLAMA,45.03403465346535,41.889924286546304,40.230052417006405
CAJAMARCA,CHOTA,MIRACOSTA,58.918338108882516,57.00214899713467,53.37940333726614
CAJAMARCA,CHOTA,PACCHA,87.58333333333333,82.890625,77.65625
CAJAMARCA,CHOTA,QUEROCOTO,58.212809917355365,55.65599173553719,54.399611084103064
CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,66.92073170731707,66.42530487804879,60.40172166427546
CAJAMARCA,SANTA CRUZ,LA ESPERANZA,58.723404255319146,58.51063829787234,52.88753799392097
LIMA,LIMA,LIMA,0.0,0.0,0.0
LIMA,LIMA,MIRAFLORES,0.0,0.0,0.0
LIMA,LIMA,MAGDALENA DEL MAR,0.0,0.0,0.0
LIMA,LIMA,SAN LUIS,33.33333333333333,33.33333333333333,33.33333333333333
LIMA,LIMA,SANTA ANITA,12.5,12.5,12.5
LIMA,LIMA,SURQUILLO,0.0,0.0,0.0
LIMA,LIMA,BREÑA,0.0,0.0,0.0
LIMA,LIMA,SANTA ROSA,0.0,0.0,0.0
HUANUCO,HUANUCO,AMARILIS,90.1285046728972,86.33177570093457,84.27707531610776
HUANUCO,HUANUCO,YARUMAYO,99.87745098039215,98.65196078431373,94.97549019607843
HUANUCO,HUANUCO,QUISQUI (KICHKI),90.97222222222221,89.32291666666666,81.12745098039215
