AÑO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRODUCTO,SIEMBRA,COSECHA,PRODUCCION,PRECIO_CHACRA
2018,2,HUANCAVELICA,HUAYTARA,HUAYTARA,Canchan-INIA,0.0,4.0,42.0,0.42
2019,5,AMAZONAS,LUYA,SANTA CATALINA,Huayro,2.0,10.0,210.0,1.8
2019,12,HUANCAVELICA,TAYACAJA,SURCUBAMBA,Canchan-INIA,0.0,4.0,44.8,1.0
2021,4,LIMA,YAUYOS,CACRA,Canchan-INIA,0.0,1.0,9.8,1.4
2019,1,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Canchan-INIA,0.0,0.0,0.0,0.0
2020,12,AMAZONAS,CHACHAPOYAS,GRANADA,Amarilis-INIA,0.0,0.0,0.0,0.0
2016,1,AMAZONAS,CHACHAPOYAS,CHETO,Yungay,4.0,6.0,114.0,1.6
2018,1,AMAZONAS,LUYA,MARIA,Huayro,12.0,0.0,0.0,0.0
2016,6,AMAZONAS,LUYA,COLCAMAR,Huayro,1.0,6.0,114.6,0.95
2018,3,AMAZONAS,LUYA,LONYA CHICO,Yungay,0.0,2.0,39.6,0.7
2020,3,AMAZONAS,CHACHAPOYAS,QUINJALCA,Huayro,10.0,12.0,228.0,1.7
2023,6,AMAZONAS,LUYA,SAN CRISTOBAL,Amarilis-INIA,0.0,1.0,17.0,1.0
2023,5,AMAZONAS,CHACHAPOYAS,HUANCAS,Yungay,4.0,1.0,17.3,0.75
2021,11,AMAZONAS,CHACHAPOYAS,GRANADA,Huayro,3.0,0.0,0.0,0.0
2023,5,AMAZONAS,CHACHAPOYAS,SONCHE,Yungay,1.0,0.0,0.0,0.0
2015,8,HUANCAVELICA,TAYACAJA,QUISHUAR,Yungay,6.0,0.0,0.0,0.0
2022,2,AMAZONAS,LUYA,LONGUITA,Amarilis-INIA,4.0,0.0,0.0,0.0
2020,8,AMAZONAS,CHACHAPOYAS,OLLEROS,Yungay,0.0,0.0,0.0,0.0
2016,6,HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,Canchan-INIA,0.0,5.1,52.0,0.5
2021,2,APURIMAC,GRAU,PROGRESO,Canchan-INIA,0.0,0.0,0.0,0.0
2022,6,AMAZONAS,LUYA,SAN JERONIMO,Yungay,0.0,1.0,15.0,1.75
2019,5,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,Canchan-INIA,0.0,3.0,60.0,1.6
2021,2,AMAZONAS,CHACHAPOYAS,QUINJALCA,Amarilis-INIA,0.0,0.0,0.0,0.0
2015,7,HUANCAVELICA,HUAYTARA,AYAVI,Perricholi,0.0,0.0,0.0,0.0
2022,1,APURIMAC,GRAU,MICAELA BASTIDAS,Canchan-INIA,0.0,0.0,0.0,0.0
2022,11,AMAZONAS,LUYA,CONILA,Huayro,7.0,6.0,120.0,2.25
2015,10,HUANCAVELICA,TAYACAJA,PAZOS,Canchan-INIA,28.0,0.0,0.0,0.0
2018,3,AMAZONAS,LUYA,COLCAMAR,Huayro,9.0,3.0,55.5,0.4
2022,6,AMAZONAS,LUYA,LUYA VIEJO,Huayro,0.0,5.0,100.0,2.4
2015,4,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Huayro,1.0,0.0,0.0,0.0
2023,5,LIMA,YAUYOS,MADEAN,Canchan-INIA,0.0,1.0,8.3,1.2
2018,7,HUANCAVELICA,TAYACAJA,PAMPAS,Yungay,0.0,14.0,149.0,0.45
2015,4,HUANCAVELICA,TAYACAJA,ACRAQUIA,Perricholi,0.0,11.0,110.0,0.5
2019,8,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Huayro,0.0,2.0,36.0,1.48
2020,12,LIMA,YAUYOS,CATAHUASI,Yungay,2.0,0.0,0.0,0.0
2019,7,AMAZONAS,LUYA,COLCAMAR,Huayro,0.0,3.0,57.6,1.65
2015,3,HUANCAVELICA,TAYACAJA,HUARIBAMBA,Yungay,0.0,15.0,180.0,0.6
2022,6,AMAZONAS,CHACHAPOYAS,CHETO,Huayro,0.0,7.0,121.1,3.0
2017,12,AMAZONAS,LUYA,TINGO,Huayro,1.0,0.0,0.0,0.0
2018,4,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Yungay,6.0,0.0,0.0,0.0
2022,4,AMAZONAS,LUYA,PISUQUIA,Huayro,0.0,3.0,51.0,1.7
2018,6,HUANCAVELICA,TAYACAJA,PAZOS,Yungay,0.0,28.0,400.0,0.45
2017,9,HUANCAVELICA,ACOBAMBA,ANDABAMBA,Canchan-INIA,11.0,0.0,0.0,0.0
2015,6,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Huayro,0.0,0.0,0.0,0.0
2021,11,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Yungay,1.0,0.0,0.0,0.0
2021,12,APURIMAC,ANTABAMBA,OROPESA,Canchan-INIA,0.0,0.0,0.0,0.0
2019,1,AMAZONAS,CHACHAPOYAS,CHETO,Amarilis-INIA,0.0,0.0,0.0,0.0
2023,7,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Huayro,0.0,0.0,0.0,0.0
2019,4,AMAZONAS,LUYA,MARIA,Canchan-INIA,1.0,5.0,105.0,1.2
2016,11,AMAZONAS,LUYA,SANTA CATALINA,Huayro,0.0,0.0,0.0,0.0
2016,4,AMAZONAS,LUYA,LUYA VIEJO,Yungay,0.0,9.0,171.0,0.85
2017,3,AMAZONAS,LUYA,LUYA,Canchan-INIA,3.0,2.0,36.0,0.9
2016,8,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Amarilis-INIA,0.0,0.0,0.0,0.0
2018,2,HUANCAVELICA,TAYACAJA,AHUAYCHA,Yungay,0.0,10.0,123.0,0.4
2015,9,HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,Canchan-INIA,0.0,1.0,10.46,1.3
