Departamento,Provincia,Distrito,Promedio_Ponderado
LORETO,LORETO,PARINARI,0.0
LORETO,LORETO,TROMPETEROS,0.0
LORETO,PUTUMAYO,PUTUMAYO,0.0
LORETO,MAYNAS,TORRES CAUSANA,0.0
LORETO,MAYNAS,BELEN,0.0
LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,0.0
LORETO,ALTO AMAZONAS,YURIMAGUAS,0.0
CAJAMARCA,JAEN,SAN FELIPE,24.899725274725277
TACNA,TARATA,ESTIQUE,74.65873015873015
ANCASH,RECUAY,RECUAY,95.88922764227641
ANCASH,SANTA,MORO,2.005279680365297
HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,89.47617647058823
APURIMAC,ANDAHUAYLAS,KISHUARA,93.58412798713235
CUSCO,CUSCO,CCORCA,99.02200554134697
ANCASH,BOLOGNESI,CHIQUIAN,93.22916666666666
JUNIN,JAUJA,MOLINOS,94.29277054333184
JUNIN,CONCEPCION,COMAS,94.46684151367552
JUNIN,JAUJA,POMACANCHA,97.26166328600405
MADRE DE DIOS,TAMBOPATA,LABERINTO,0.0
MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,0.0
MADRE DE DIOS,TAHUAMANU,TAHUAMANU,0.0
MADRE DE DIOS,TAHUAMANU,IBERIA,0.0
LIMA,CAÑETE,CHILCA,2.7031509121061363
HUANCAVELICA,HUAYTARA,SAN FRANCISCO DE SANGAYAICO,78.66360505166476
LAMBAYEQUE,CHICLAYO,NUEVA ARICA,0.0
AREQUIPA,CAYLLOMA,TUTI,43.74626865671642
AREQUIPA,CAYLLOMA,MAJES,67.59342761494841
AREQUIPA,CONDESUYOS,CHUQUIBAMBA,60.353948353948354
AREQUIPA,CONDESUYOS,ANDARAY,58.829316364455465
AREQUIPA,CONDESUYOS,SALAMANCA,39.065134099616856
AREQUIPA,CASTILLA,TIPAN,37.933130699088146
PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,25.68913857677903
PUNO,HUANCANE,HUATASANI,95.97701149425288
PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA,95.13888888888889
AYACUCHO,CANGALLO,LOS MOROCHUCOS,96.76540284360189
AYACUCHO,VILCAS HUAMAN,VISCHONGO,95.63329646017701
AYACUCHO,CANGALLO,CHUSCHI,94.77107558139534
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,27.398989898989903
PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,98.1875
PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,86.68213498754551
PASCO,OXAPAMPA,OXAPAMPA,33.83336313248704
PASCO,OXAPAMPA,VILLA RICA,6.205310936691392
PASCO,OXAPAMPA,HUANCABAMBA,71.223604826546
PASCO,OXAPAMPA,POZUZO,31.11077933711556
LIMA,HUAURA,HUALMAY,25.0
LIMA,YAUYOS,CACRA,75.16447368421052
LIMA,CANTA,HUAROS,91.12593632958801
UCAYALI,CORONEL PORTILLO,CAMPOVERDE,0.0
