AÑO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRODUCTO,SIEMBRA,COSECHA,PRODUCCION,PRECIO_CHACRA
2020,3,APURIMAC,GRAU,HUAYLLATI,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2020,7,LIMA,CAÑETE,IMPERIAL,PAPA UNICA (mejoradas)-color,72.0,0.0,0.0,0.0
2020,3,APURIMAC,GRAU,PROGRESO,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2016,7,AMAZONAS,LUYA,CONILA,PAPA CANCHAN (mejoradas)- color,0.0,6.0,114.0,0.8
2015,11,HUANCAVELICA,TAYACAJA,HUARIBAMBA,PAPA PERRICHOLI (mejoradas),13.0,0.0,0.0,0.0
2015,5,HUANCAVELICA,TAYACAJA,SALCAHUASI,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2015,11,HUANCAVELICA,HUAYTARA,TAMBO,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2015,8,HUANCAVELICA,HUAYTARA,TAMBO,PAPA CANCHAN (mejoradas)- color,6.0,0.0,0.0,0.0
2016,2,HUANCAVELICA,TAYACAJA,AHUAYCHA,PAPA PERRICHOLI (mejoradas),0.0,8.0,85.0,0.5
2016,2,HUANCAVELICA,TAYACAJA,HUARIBAMBA,PAPA PERRICHOLI (mejoradas),0.0,3.0,32.0,0.5
2021,3,LIMA,YAUYOS,CACRA,PAPA CANCHAN (mejoradas)- color,0.0,3.0,27.0,1.3
2017,12,HUANCAVELICA,ACOBAMBA,ANTA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2016,11,HUANCAVELICA,TAYACAJA,HUARIBAMBA,PAPA PERRICHOLI (mejoradas),8.0,0.0,0.0,0.0
2016,1,HUANCAVELICA,HUAYTARA,TAMBO,PAPA PERRICHOLI (mejoradas),0.0,2.0,21.0,0.6
2016,2,HUANCAVELICA,TAYACAJA,AHUAYCHA,PAPA CANCHAN (mejoradas)- color,0.0,8.0,85.0,0.5
2018,1,HUANCAVELICA,HUAYTARA,CORDOVA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2023,3,AMAZONAS,LUYA,PISUQUIA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2020,11,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,PAPA CANCHAN (mejoradas)- color,4.0,0.0,0.0,0.0
2021,3,LIMA,YAUYOS,AZANGARO,PAPA CANCHAN (mejoradas)- color,0.0,8.0,80.0,1.3
2016,8,AMAZONAS,LUYA,LAMUD,PAPA CANCHAN (mejoradas)- color,0.0,1.0,19.7,1.0
2020,3,APURIMAC,GRAU,CHUQUIBAMBILLA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2020,1,AMAZONAS,LUYA,CONILA,PAPA CANCHAN (mejoradas)- color,38.0,1.0,18.0,1.4
