Especie,Subsp,Especie_Su,Nombre_com,Departamen,Provincia,Distrito,Longitud,Latitud,Altitud
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,s/n,JUNIN,TARMA,PALCAMAYO,-75.7730555556,-11.295,3338.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Paulina,CUSCO,CANCHIS,SAN PABLO,-71.3155555556,-14.2027777778,3488.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Amarilla,JUNIN,JUNIN,JUNIN,-75.9802777778,-11.1847222222,4129.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Utcuisha,ANCASH,BOLOGNESI,AQUIA,-77.1441666667,-10.0741666667,3345.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Chunchu Waywa,ANCASH,BOLOGNESI,AQUIA,-77.1441666667,-10.0741666667,3345.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Papa lucha,ANCASH,BOLOGNESI,AQUIA,-77.1441666667,-10.0741666667,3345.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Utcuisha - Milagro blanco,ANCASH,BOLOGNESI,AQUIA,-77.1,-10.0333333333,4912.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Huayro Amarilla,ANCASH,BOLOGNESI,AQUIA,-77.1,-10.0333333333,4912.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Papa nati,ANCASH,BOLOGNESI,AQUIA,-77.0975,-9.9625,3903.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Chilcay Morada,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,-75.2941666667,-11.8775,3379.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha,Wayro,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,-75.2944444444,-11.8769444444,3378.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha,Wayro,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,-75.2944444444,-11.8769444444,3378.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha,Wayro Tarma,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,-75.2944444444,-11.8769444444,3378.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha,Wayro Tarma,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,-75.2944444444,-11.8769444444,3378.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Garsa Pepino,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,-75.2941666667,-11.8775,3379.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha, Murungui,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,-75.2944444444,-11.8769444444,3378.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha, Murungui,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,-75.2944444444,-11.8769444444,3378.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Gepshu,HUANUCO,HUAMALIES,LLATA,-76.82,-9.55,3496.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Utcush,ANCASH,AIJA,AIJA,-77.6333333333,-9.76666666667,3157.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Utcush,ANCASH,AIJA,AIJA,-77.6333333333,-9.76666666667,3157.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Yana T'uruña,CUSCO,QUISPICANCHI,MARCAPATA,-70.9563888889,-13.595,2851.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Chinchero,CUSCO,QUISPICANCHI,MARCAPATA,-70.9563888889,-13.595,2851.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Puka Sulli,CUSCO,QUISPICANCHI,MARCAPATA,-70.9563888889,-13.595,2851.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Yana Suyt ´u,PASCO,DANIEL ALCIDES CARRION,SANTA ANA DE TUSI,-76.3538888889,-10.4730555556,3761.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha, Yana Huaeria,PASCO,DANIEL ALCIDES CARRION,SANTA ANA DE TUSI,-76.3538888889,-10.4730555556,3761.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha, Yana Huaeria,PASCO,DANIEL ALCIDES CARRION,SANTA ANA DE TUSI,-76.3538888889,-10.4730555556,3761.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Niña Mauna,PASCO,DANIEL ALCIDES CARRION,SANTA ANA DE TUSI,-76.3369444444,-10.4619444444,3965.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Mossokk Suyt'u,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum stenotomum,subsp. goniocalyx,Solanum stenotomum subsp. goniocalyx,Linso Turo,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum stenotomum,subsp. goniocalyx,Solanum stenotomum subsp. goniocalyx,Caureña,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Tatash,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum stenotomum,subsp. goniocalyx,Solanum stenotomum subsp. goniocalyx,Conchucano,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Cerreña negra,ANCASH,PALLASCA,CONCHUCOS,-77.85,-8.26666666667,3244.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Negra,ANCASH,PALLASCA,CONCHUCOS,-77.85,-8.26666666667,3244.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Ñata,ANCASH,PALLASCA,CONCHUCOS,-77.85,-8.26666666667,3244.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Orconista,ANCASH,PALLASCA,CONCHUCOS,-77.85,-8.26666666667,3244.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Capochay peruano,JUNIN,TARMA,TARMA,-75.69,-11.42,3058.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Collota blanca,JUNIN,TARMA,TARMA,-75.69,-11.42,3058.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Huaytacucho,JUNIN,TARMA,TARMA,-75.69,-11.42,3058.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Galilla,JUNIN,TARMA,TARMA,-75.69,-11.42,3058.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Tornasol,JUNIN,TARMA,TARMA,-75.69,-11.42,3058.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Negra,JUNIN,TARMA,TARMA,-75.69,-11.42,3058.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Yana Huiro,JUNIN,TARMA,TARMA,-75.69,-11.42,3058.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Puca Pishun Suyt'u,JUNIN,TARMA,TARMA,-75.69,-11.42,3058.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Yuca,JUNIN,TARMA,HUASAHUASI,-75.6502777778,-11.265,2745.0
