ID,CULTVRNAME,LAT,LONG,SPP2
6330,Wayru,-13.27,-74.2,Papa
6331,Yurac Allqu,-13.27,-74.2,Papa
6334,Qara Papa,-13.02,-73.98,Papa
6335,Papa Racacha,-12.95,-74.02,Papa
6336,Wawacha,-12.95,-74.02,Papa
6337,Millqos,-12.9,-74.27,Papa
6338,Yana Susu,-12.9,-74.27,Papa
6339,Tiendacha,-13.02,-73.98,Papa
6340,Mendez,-13.02,-73.98,Papa
6341,Vacapa Tunqurin,-13.02,-73.98,Papa
6342,Suytu Vilquinas,-13.02,-73.98,Papa
6343,Puca Allqu,-13.27,-74.2,Papa
6344,Rapichaucha Morada,-13.27,-74.2,Papa
6345,Uqi Nawi,-13.02,-73.98,Papa
6346,Uqi Nawi,-13.02,-73.98,Papa
6347,Uqi Nawi,-13.02,-73.98,Papa
6348,Uqi Nawi,-13.02,-73.98,Papa
6349,Kullqui Marquina,-13.02,-73.98,Papa
6350,Puca Waqra,-13.23,-74.35,Papa
6351,Yana Suytu,-13.27,-74.2,Papa
6352,Yana Papa,-13.02,-73.98,Papa
6353,Yana Uqi Nawi,-13.02,-73.98,Papa
6354,Llunchuywaqachi,-13.27,-74.2,Papa
6355,Huancaina,-12.9,-74.27,Papa
6356,Uqi Lenwas,-12.9,-74.27,Papa
6357,Lenwas,-12.9,-74.27,Papa
6358,Uqi Susu,-12.9,-74.27,Papa
6359,Wamanpa Uman,-12.95,-74.02,Papa
6360,Puca Suytu,-13.27,-74.2,Papa
6361,Puca Uqi Nawi,-13.02,-73.98,Papa
6362,Chunguina,-13.02,-73.98,Papa
6363,Lenwas,-12.95,-74.02,Papa
6364,Cambru,-13.27,-74.2,Papa
6365,Sarda Paltas,-13.02,-73.98,Papa
6366,Pulperias,-13.02,-73.98,Papa
6367,Pepino,-13.02,-73.98,Papa
6368,Condorcunca,-8.53,-77.62,Papa
6369,Manzana,-8.53,-77.62,Papa
6370,Ovillo Negro,-8.53,-77.62,Papa
6371,Ovillo Rojo,-8.53,-77.62,Papa
6372,Maqta Suytu,-13.35,-71.67,Papa
6373,Muru  Cusi,-13.35,-71.67,Papa
6374,Cushi,-13.35,-71.67,Papa
6375,Yana Suitu,-13.35,-71.67,Papa
6376,Chimako,-13.35,-71.67,Papa
6377,Pose Bole,-13.35,-71.67,Papa
6378,Olones,-13.35,-71.67,Papa
6379,Trombos,-13.35,-71.67,Papa
6380,Yana Mactillo,-13.35,-71.67,Papa
6381,Misti,-13.35,-71.67,Papa
6382,Puca Chilino,-13.35,-71.67,Papa
6383,Carhuis,-13.35,-71.67,Papa
6384,Puca Cusi,-13.35,-71.67,Papa
6385,Puca Imilla,-13.35,-71.67,Papa
6388,Vacapa Callum,-13.28,-75.17,Papa
6389,Yana Paltas,-13.28,-75.17,Papa
6390,Yeguapa Nu±un,-13.28,-75.17,Papa
6391,Blanca Mestiza,-13.28,-75.17,Papa
6392,Chaquillo,-13.35,-71.67,Papa
6393,Alcca Ccompis,-13.35,-71.67,Papa
6394,Alcay  Warmi,-13.35,-71.67,Papa
6395,Viatino Cusii,-13.35,-71.67,Papa
6397,Yana Kewillo,-13.35,-71.67,Papa
6398,Charka Waylla,-13.35,-71.67,Papa
6399,Misti Pichilo,-13.35,-71.67,Papa
6400,Churillo,-13.35,-71.67,Papa
6401,Talako,-13.35,-71.67,Papa
6402,Troje Waccachi,-13.28,-75.17,Papa
6404,Socco,-13.35,-71.67,Papa
6405,Pisha Milpo,-11.72,-75.08,Papa
6406,Pumapa Maquin,-11.62,-75.13,Papa
6407,Pi±a,-11.62,-75.13,Papa
6408,Shaca,-11.72,-75.08,Papa
6409,Yacolumi,-11.67,-75.1,Papa
6410,Pillor Ichipsa,-11.68,-75.1,Papa
6411,Allcca Carasco,-13.14,-74.04,Papa
6412,Camcha,-13.14,-74.04,Papa
6413,Sarda Caca negra,-13.14,-74.04,Papa
6414,Puca Carrasco,-13.12,-74.06,Papa
6415,Paja Panchi,-11.72,-75.08,Papa
6416,Amaya,-11.67,-75.1,Papa
6417,Yana Mata,-11.62,-75.13,Papa
6418,Moro Viuda,-11.62,-75.13,Papa
6419,Callanquina,-11.68,-75.1,Papa
6420,Tucupluntun,-11.62,-75.13,Papa
6421,Chupulito,-11.72,-75.08,Papa
6422,Morcilla,-11.72,-75.08,Papa
6423,Shactamata,-11.67,-75.1,Papa
6424,Yura Viuda,-11.72,-75.08,Papa
6425,Pepino,-11.68,-75.1,Papa
6426,Pepino,-11.67,-75.1,Papa
6427,Wacapa Callum,-11.67,-75.1,Papa
6428,Pisha Milpo,-11.72,-75.08,Papa
6429,Cuzque±a,-11.62,-75.13,Papa
6430,Pi±a,-11.72,-75.08,Papa
6431,Liwlishpa Pishun,-11.72,-75.08,Papa
6432,Callhuay Blanco,-11.72,-75.08,Papa
6433,Lime±a,-11.62,-75.13,Papa
6434,Muro Pulush,-11.72,-75.08,Papa
6435,Wayta Chuco,-11.72,-75.08,Papa
6436,Negra Jaja,-11.62,-75.13,Papa
6437,Viuda,-11.68,-75.1,Papa
6438,Yana Wancuy,-11.72,-75.08,Papa
6439,Viuda Yana Mata,-11.72,-75.08,Papa
