NOMBDEP,NOMBPROV,NOMBDIST,INVIERNO,MAYO,AGOSTO,OCTUBRE,MARZO,DICIEMBRE,ENERO,SETIEMBRE,VERANO,JUNIO,NOVIEMBRE,ABRIL,FEBRERO,ANUAL,JULIO,PRIMAVERA,OTOÑO
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,23.052669447851912,22.46217604808324,23.13734337762447,23.556913804763976,21.727629845185447,22.691049280052404,22.04551216628185,23.311082069864423,21.839812944752936,22.410598512715207,23.53618768215622,22.11679309302074,21.75088445890591,22.594284286270607,22.391285628490998,23.302110938027514,22.313388575220685
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,20.390649431806512,20.272329423324372,20.409932478445377,20.968248398883617,19.087359434400017,20.417449164704248,19.545811916377808,20.639369148898354,19.226703703898615,20.243650071996548,21.17835842345289,19.722633052958276,19.052132815277496,20.218260000878274,20.11245736802204,20.793006569251965,20.134914507007064
AMAZONAS,CHACHAPOYAS,SOLOCO,20.47091528892874,20.293068860868935,20.467418662895163,20.84380085953709,18.925106884007466,20.389257282471707,19.28315670244743,20.634246412341696,19.014799306022677,20.360926817115402,20.866587843621325,19.515854569293793,18.912237494474127,20.214507690848468,20.228047015341968,20.703020018620478,20.12908324591332
AMAZONAS,CHACHAPOYAS,SONCHE,22.657419903896535,22.356298731569844,22.790053377484583,23.409857712677006,21.397633052287826,22.550032118266433,21.932433501132515,23.06067743355249,21.611353878093734,22.312997761675398,23.343585641090204,22.0020753853068,21.48056216846671,22.43944846236331,22.326330688826587,22.96393330239499,22.256556820289347
AMAZONAS,CONDORCANQUI,EL CENEPA,26.60818031975243,27.29236116408767,26.542159504192426,27.703123476702448,27.702875559048856,28.08054114404099,27.724311930345976,27.14875093164572,27.64646655564635,26.51876341812459,28.177935628651507,27.640150646586864,27.515212465950658,27.340134925950345,26.154055243192456,28.002317739113,27.138012851424044
AMAZONAS,CONDORCANQUI,NIEVA,28.70695614014629,29.005211849854785,28.684682779412825,29.317254544168872,29.16895886911978,29.33467238456147,29.201239573466502,29.1202522839675,29.157179436206384,27.93137363769797,29.409529807038133,29.16746765016234,29.099232886039218,29.092536542526584,27.576026909102495,29.349279128269437,28.949294906701574
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,28.639048440946855,28.993457883936752,28.624923168524948,29.258200593171264,29.20675082375675,29.78436021714274,29.269867981995464,29.001280795863554,29.15352915476712,28.39602651187218,29.77122874943359,29.143045799584375,29.07604958039567,29.028278022806795,27.81124621813152,29.459902724847606,28.888860461163716
AMAZONAS,LUYA,CAMPORREDONDO,23.79757848111747,23.81767904468896,23.825424602048958,24.737661951689226,23.658660992685277,24.457531743360587,23.965405539567932,24.340886100461145,23.77517931020487,23.370962658991836,24.926094773293432,23.965085557279266,23.684813833655117,23.998533618207382,23.240915789742438,24.709978036221642,23.711649718813053
AMAZONAS,LUYA,COCABAMBA,22.292925686066777,22.15860891115083,22.362324700488568,22.73039204327706,21.366831744815094,22.15812769805358,21.712706969438898,22.667662413685317,21.523530453415017,21.927917630363172,22.67238669652695,21.767455309814757,21.487225780693695,22.0655450602527,21.814624038930678,22.524582081549283,21.954936802999963
AMAZONAS,LUYA,COLCAMAR,20.415323438591045,20.253992517250545,20.47763366234203,20.893655479347665,19.162069603105525,20.30755448929618,19.55567599773417,20.645026981395343,19.23779953953683,20.20828025421277,20.998658182188787,19.834816616567554,19.005976237649087,20.17598781106786,20.11459435278001,20.671049930581887,20.11446089203995
