NOMBDEP,NOMBPROV,NOMBDIST,OTOÑO,MARZO,PRIMAVERA,JUNIO,NOVIEMBRE,INVIERNO,ABRIL,JULIO,AGOSTO,VERANO,FEBRERO,SETIEMBRE,ENERO,MAYO,ANUAL,DICIEMBRE,OCTUBRE
AREQUIPA,AREQUIPA,CAYMA,9.520091319392984,38.87458998983372,14.903757546349313,2.5,2.5230681680160227,2.77345732867736,7.165546372783646,2.5,2.5,198.51531239476034,100.44877891402328,2.5,53.068125205554885,2.5,229.96900600539172,9.62439110828316,2.5
AREQUIPA,AREQUIPA,CERRO COLORADO,4.05416766757667,28.206982181983637,6.740844896938971,2.5,2.512278222926101,2.7752171296487087,3.1314337636084897,2.5,2.5,152.31707011867294,87.82171196573786,2.5,37.860427060996955,2.5000000000000004,165.969115360305,4.52865040225105,2.5
AREQUIPA,AREQUIPA,CHARACATO,3.639147291443303,33.8980927499936,10.941554636215246,2.5,2.5021803495920274,2.5,2.9689225429932034,2.5,2.5,110.34333866782794,41.237238325624055,2.5000000000000004,40.30695520221266,2.4999999999999996,131.1370378768335,7.501073116237138,2.5
AREQUIPA,AREQUIPA,CHIGUATA,5.075929487390453,36.88320124464362,16.596077200185757,2.5,2.500367172513117,2.5,3.880188934520987,2.5,2.5,155.43500123461936,63.32450858018263,2.5,49.38887212087621,2.4999999999999996,185.3231144568593,10.534433373264836,2.5
AREQUIPA,AREQUIPA,JACOBO HUNTER,2.5,15.430116235913959,2.5,2.5,2.5,2.5,2.5,2.5,2.5,66.83677707416014,35.01381575109538,2.5,34.985602772342425,2.5,67.52103749497532,2.5,2.5
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,2.5,15.72931662347792,2.5,2.5,2.5,2.5,2.5,2.5,2.5,71.88204164707692,38.96744376703712,2.5,33.478326247980704,2.5,76.73453659408301,2.5,2.5
AREQUIPA,AREQUIPA,LA JOYA,2.499999999999999,2.783661829185451,2.5,2.5,2.5,2.5000000000000004,2.5,2.5,2.5,10.021349424847786,3.1125311031470044,2.5000000000000004,3.241064326965182,2.5,14.133331782181303,2.5,2.4999999999999996
AREQUIPA,AREQUIPA,MARIANO MELGAR,2.5363894965874203,31.828921425427428,6.637256393519961,2.5,2.5,2.5,2.5,2.5,2.5,105.98238270646075,43.39230785511946,2.5,35.458886351290204,2.5,107.06825332397541,5.189339574224704,2.5
AREQUIPA,AREQUIPA,MIRAFLORES,3.1681389853252697,31.554432807062565,7.156325668959833,2.5,2.5,2.5,2.7298838610934157,2.5,2.5,120.96130154160203,55.181224594644455,2.5,39.7125497023806,2.5,128.03683515205054,5.0619434466344355,2.5
AREQUIPA,AREQUIPA,MOLLEBAYA,2.5,18.744770666964765,3.305433605208666,2.5,2.5,2.5,2.5,2.5,2.5,65.0,32.82245965631775,2.5,30.221455883964982,2.4999999999999996,66.0356140407441,2.5,2.5
AREQUIPA,AREQUIPA,PAUCARPATA,2.5,26.79215846809175,4.912843184320815,2.5,2.5,2.5,2.5,2.5,2.5,79.71925900268833,31.509905931270975,2.5,35.0,2.5000000000000004,81.77733740362883,3.5058424923794043,2.5
AREQUIPA,AREQUIPA,POCSI,4.108602880309139,35.34471316049438,11.300228762022025,2.5,2.5,2.5,2.832241383691985,2.5,2.5,113.04012060541923,42.89036721773334,2.5,40.78210050784194,2.5,132.2909326356251,8.361954712793617,2.5
AREQUIPA,AREQUIPA,POLOBAYA,2.756774211056965,18.644117934750422,6.403977166650603,2.5,2.5,2.5,2.50110332654579,2.5,2.5,64.14554690561688,27.274436840442103,2.5,25.633899320239177,2.5,74.4476513030156,4.129506074463235,2.5
AREQUIPA,AREQUIPA,QUEQUEÑA,2.5,16.8148608234256,5.280256003109214,2.5,2.5,2.5,2.5,2.5,2.5,64.57057689640615,33.18870343137805,2.5,25.88962352891973,2.5,65.84628353084652,2.5,2.5
AREQUIPA,AREQUIPA,SABANDIA,2.5,28.61294104924408,5.5285583111779,2.5,2.5,2.5,2.5,2.5,2.5,83.70977510550358,33.38614930005671,2.5,35.0,2.5,93.03577420718855,4.650277385335435,2.5
AREQUIPA,AREQUIPA,SACHACA,2.5,14.348004024240765,2.5,2.5,2.5,2.5,2.5,2.5,2.5,78.84062321529781,42.82046918213216,2.5,34.77702292190722,2.5,86.51358596613049,2.5,2.5
AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.3770068691696733,2.5,2.5,2.5,2.5,8.953173390444924,2.5,2.5
AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,30.127115867779455,69.49641934728483,67.76042381839676,2.5,18.598432345510265,13.164230966132658,24.54191946850771,2.5,2.8304398585573387,265.27358083837754,96.26516061688243,5.815361108479822,91.93082863709242,3.660027196436617,372.11286077788384,44.295502308526245,7.516855985644392
AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,2.5,2.9828325935108406,2.5,2.5,2.5,2.5000000000000004,2.5,2.5,2.5,11.645682153262676,3.2747255612479353,2.5,3.662209828755467,2.5,15.587945401077587,2.5,2.5
AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.7198542402216237,2.5,2.5,2.5,2.5,7.970564777427913,2.5,2.5
